2,43.80,29.03,100953.75,28.12,0.47
1,45.00,29.16,100945.50,28.44,0.96
2,43.80,29.02,100951.50,28.12,0.46
1,44.99,29.16,100949.00,28.44,0.96
2,43.82,29.02,100952.25,28.12,0.47
1,44.99,29.17,100947.75,28.44,0.96
2,43.84,29.02,100953.00,28.12,0.47
1,44.98,29.17,100949.50,28.44,0.96
2,43.84,29.01,100953.00,28.12,0.47
1,44.99,29.18,100949.50,28.44,0.96
2,43.86,29.02,100951.50,28.12,0.47
1,44.99,29.18,100949.00,28.44,0.96
2,43.86,29.02,100955.50,28.12,0.49
1,44.99,29.18,100947.50,28.44,0.97
2,43.86,29.02,100953.50,28.12,0.51
1,44.99,29.20,100946.00,28.44,1.03
2,43.87,29.03,100950.75,28.12,0.59
1,44.99,29.19,100946.50,28.44,1.07
2,43.87,29.03,100954.25,28.12,0.53
1,45.00,29.19,100945.75,28.44,1.06
2,43.87,29.03,100955.50,28.12,0.53
1,45.00,29.21,100946.75,28.44,1.05
2,43.85,29.04,100953.50,28.12,0.53
1,44.99,29.21,100946.00,28.44,1.05
2,43.83,29.03,100954.50,28.12,0.53
1,44.99,29.20,100944.75,28.44,1.04
2,43.83,29.04,100954.50,28.12,0.52
1,44.99,29.21,100949.50,28.50,1.03
2,43.82,29.04,100949.25,28.12,0.52
1,44.98,29.21,100948.25,28.50,1.03
2,43.83,29.06,100956.50,28.12,0.52
1,44.99,29.21,100945.00,28.44,1.03
2,43.84,29.05,100953.25,28.12,0.52
1,44.99,29.22,100947.75,28.50,1.03
2,43.82,29.06,100952.50,28.12,0.52
1,45.00,29.22,100946.00,28.50,1.03
2,43.80,29.05,100954.50,28.12,0.52
1,45.02,29.23,100949.25,28.50,1.03
2,43.77,29.05,100958.25,28.19,0.52
1,45.01,29.23,100942.75,28.50,1.03
2,43.75,29.06,100951.25,28.12,0.52
1,45.01,29.24,100947.25,28.50,1.04
2,43.73,29.06,100951.25,28.12,0.52
1,45.00,29.24,100946.50,28.50,1.04
2,43.73,29.05,100952.25,28.12,0.52
1,44.99,29.24,100943.00,28.50,1.04
2,43.71,29.05,100954.00,28.12,0.52
1,45.00,29.26,100950.25,28.50,1.04
2,43.67,29.04,100952.50,28.12,0.52
1,44.99,29.24,100949.00,28.50,1.04
2,43.65,29.04,100953.25,28.12,0.52
1,44.99,29.24,100948.00,28.50,1.05
2,43.65,29.05,100950.50,28.12,0.52
1,45.00,29.26,100947.25,28.50,1.05
2,43.65,29.05,100953.75,28.12,0.53
1,45.02,29.27,100944.75,28.50,1.07
2,43.65,29.04,100951.25,28.12,0.55
1,45.01,29.27,100945.50,28.50,1.05
2,43.67,29.02,100952.50,28.12,0.52
1,44.99,29.27,100945.25,28.50,1.03
2,43.68,29.01,100951.75,28.12,0.52
1,44.99,29.28,100947.25,28.56,1.02
2,43.73,29.01,100952.00,28.12,0.53
1,44.97,29.29,100944.25,28.50,1.02
2,43.75,29.01,100953.00,28.12,0.52
1,44.96,29.28,100942.75,28.50,1.02
2,43.77,29.02,100953.50,28.12,0.53
1,44.93,29.29,100948.00,28.56,1.02
