18:22:36,1,36.34,26.70,101014.50,25.81,1.46
18:22:37,1,36.34,26.69,101019.50,25.87,1.46
18:22:38,1,36.33,26.69,101016.75,25.81,1.46
18:22:39,1,36.33,26.70,101019.00,25.81,1.47
18:22:40,1,36.32,26.70,101020.25,25.81,1.46
18:22:41,1,36.31,26.69,101016.75,25.81,1.46
18:22:42,1,36.30,26.68,101015.00,25.81,1.46
18:22:43,1,36.30,26.69,101014.75,25.81,1.46
18:22:44,1,36.30,26.69,101017.75,25.81,1.46
18:22:45,1,36.31,26.68,101020.25,25.87,1.46
18:22:46,1,36.31,26.69,101017.50,25.81,1.46
18:22:47,1,36.30,26.69,101021.25,25.87,1.46
18:22:48,1,36.30,26.69,101013.50,25.81,1.46
18:22:49,1,36.30,26.67,101020.25,25.81,1.46
18:22:50,1,36.30,26.67,101019.50,25.81,1.46
18:22:51,1,36.30,26.67,101015.25,25.81,1.46
18:22:52,1,36.30,26.66,101017.00,25.81,1.46
18:22:53,1,36.31,26.66,101015.75,25.81,1.46
18:22:54,1,36.33,26.66,101016.25,25.81,1.46
18:22:55,1,36.34,26.66,101014.75,25.81,1.46
18:22:56,1,36.34,26.66,101019.75,25.81,1.46
18:22:57,1,36.34,26.66,101017.25,25.81,1.46
18:22:58,1,36.35,26.65,101015.75,25.81,1.46
18:22:59,1,36.36,26.66,101022.25,25.81,1.46
18:23:0,1,36.35,26.66,101015.25,25.81,1.46
18:23:1,1,36.34,26.67,101015.25,25.81,1.46
18:23:2,1,36.34,26.66,101017.75,25.81,1.45
18:23:3,1,36.35,26.67,101019.25,25.81,1.46
18:23:4,1,36.35,26.67,101020.00,25.81,1.45
18:23:5,1,36.36,26.67,101014.50,25.81,1.46
18:23:6,1,36.35,26.66,101018.25,25.81,1.46
18:23:7,1,36.34,26.65,101012.25,25.81,1.45
18:23:8,1,36.36,26.65,101015.75,25.81,1.46
18:23:9,1,36.35,26.63,101014.00,25.75,1.45
18:23:10,1,36.35,26.63,101018.00,25.81,1.45
18:23:11,1,36.36,26.65,101016.25,25.75,1.45
18:23:12,1,36.37,26.64,101019.00,25.81,1.45
18:23:13,1,36.37,26.65,101020.25,25.81,1.45
18:23:14,1,36.37,26.64,101017.75,25.81,1.45
18:23:15,1,36.36,26.63,101010.75,25.75,1.45
18:23:16,1,36.38,26.63,101018.00,25.81,1.45
18:23:17,1,36.39,26.64,101017.25,25.75,1.45
18:23:18,1,36.40,26.64,101018.75,25.81,1.45
18:23:19,1,36.40,26.64,101017.75,25.81,1.45
18:23:20,1,36.40,26.65,101017.25,25.81,1.44
18:23:21,1,36.40,26.66,101019.25,25.81,1.44
18:23:22,1,36.40,26.67,101019.50,25.81,1.44
18:23:23,1,36.40,26.66,101014.75,25.81,1.44
18:23:24,1,36.38,26.67,101021.50,25.81,1.43
18:23:25,1,36.38,26.67,101014.50,25.81,1.44
18:23:26,1,36.39,26.67,101021.25,25.81,1.44
18:23:27,1,36.37,26.66,101019.00,25.81,1.44
18:23:28,1,36.35,26.68,101019.25,25.81,1.44
18:23:29,1,36.34,26.67,101018.75,25.81,1.44
18:23:30,1,36.34,26.67,101016.75,25.81,1.44
18:23:31,1,36.33,26.68,101019.50,25.81,1.43
18:23:32,1,36.31,26.69,101016.50,25.81,1.44
18:23:33,1,36.30,26.68,101020.75,25.81,1.44
18:23:34,1,36.28,26.69,101023.50,25.81,1.44
18:23:35,1,36.27,26.69,101018.25,25.81,1.44
18:23:36,1,36.26,26.68,101016.75,25.81,1.44
18:23:37,1,36.25,26.69,101020.25,25.81,1.43
18:23:38,1,36.24,26.69,101019.00,25.81,1.43
18:23:39,1,36.24,26.68,101020.75,25.81,1.44
18:23:40,1,36.24,26.70,101022.75,25.81,1.44
18:23:41,1,36.24,26.69,101021.25,25.81,1.45
18:23:42,1,36.25,26.68,101019.50,25.81,1.44
18:23:43,1,36.25,26.69,101020.75,25.81,1.43
18:23:44,1,36.25,26.69,101018.75,25.81,1.43
18:23:45,1,36.25,26.70,101013.50,25.81,1.45
18:23:46,1,36.27,26.70,101018.75,25.81,1.45
18:23:47,1,36.27,26.70,101020.25,25.81,1.45
18:23:48,1,36.28,26.69,101019.50,25.81,1.44
18:23:49,1,36.30,26.70,101021.75,25.81,1.44
18:23:50,1,36.32,26.69,101017.75,25.81,1.44
18:23:51,1,36.34,26.69,101019.50,25.81,1.44
18:23:52,1,36.35,26.70,101022.25,25.81,1.44
18:23:53,1,36.37,26.71,101016.00,25.81,1.44
18:23:54,1,36.37,26.70,101018.25,25.81,1.44
18:23:55,1,36.37,26.70,101016.25,25.81,1.43
18:23:56,1,36.38,26.68,101019.00,25.81,1.44
18:23:57,1,36.39,26.70,101016.25,25.81,1.43
18:23:58,1,36.40,26.70,101018.25,25.81,1.44
18:23:59,1,36.39,26.69,101021.50,25.81,1.44
18:24:0,1,36.40,26.70,101016.50,25.81,1.44
18:24:1,1,36.40,26.68,101016.75,25.81,1.44
18:24:2,1,36.41,26.68,101016.50,25.81,1.43
18:24:3,1,36.41,26.69,101014.75,25.81,1.43
